favorite,fav_seed,underdog,dog_seed,fav_win_pct,spread,spread_std,team_i,team_j,p_i,region,round
UMBC,16,Howard,16,0.5441127019417916,1.2218380857606668,1.3230174338077032,UMBC,Howard,0.5441127019417916,Midwest,Play-In
SMU,11,Miami (OH),11,0.817493587681008,-10.247562622326269,1.0393136791753717,Miami (OH),SMU,0.182506412318992,Midwest,Play-In
Lehigh,16,Prairie View A&M,16,0.5062986711872444,-0.17309052135658506,1.2695996257975415,Prairie View A&M,Lehigh,0.49370132881275564,South,Play-In
N.C. State,10,Missouri,10,0.5803699318726279,2.2346792325747815,1.2229555136194674,N.C. State,Missouri,0.5803699318726279,West,Play-In
Duke,1,Siena,16,0.9964549046991668,39.817478739181254,1.0434130150075192,Duke,Siena,0.9964549046991668,East,Round Of 64
Ohio State,8,TCU,9,0.7103357286492089,6.156294173027508,1.1213122306880137,Ohio State,TCU,0.7103357286492089,East,Round Of 64
St. John's,5,Northern Iowa,12,0.8852946014304823,13.934964325192855,1.1668814069916709,St. John's,Northern Iowa,0.8852946014304823,East,Round Of 64
Kansas,4,Cal Baptist,13,0.9409607309610137,18.873819602767696,1.0601172845827027,Kansas,Cal Baptist,0.9409607309610137,East,Round Of 64
Louisville,6,South Florida,11,0.818285120183755,10.292895129898005,1.034682943350679,Louisville,South Florida,0.818285120183755,East,Round Of 64
Michigan State,3,North Dakota State,14,0.9647088486028925,22.558479898068786,1.0393004366095642,Michigan State,North Dakota State,0.9647088486028925,East,Round Of 64
UCLA,7,UCF,10,0.7270907540471763,6.7181211598722435,1.0341352017183831,UCLA,UCF,0.7270907540471763,East,Round Of 64
UConn,2,Furman,15,0.9858727337300824,29.230487868982237,1.267957036462764,UConn,Furman,0.9858727337300824,East,Round Of 64
Duke,1,Ohio State,8,0.8941725367719231,14.556566811505645,1.007461233612277,Duke,Ohio State,0.8941725367719231,East,Round Of 32
St. John's,5,Kansas,4,0.5342381175404491,0.9469525826504652,1.1880206497005725,St. John's,Kansas,0.5342381175404491,East,Round Of 32
Michigan State,3,Louisville,6,0.5362473151093353,-0.9963832576807339,1.010106775506768,Louisville,Michigan State,0.4637526848906647,East,Round Of 32
UConn,2,UCLA,7,0.6926189610395761,-5.574236275849189,1.027141487449981,UCLA,UConn,0.30738103896042396,East,Round Of 32
Duke,1,St. John's,5,0.8511580142188527,11.914442313271055,1.149575600508338,Duke,St. John's,0.8511580142188527,East,Sweet 16
UConn,2,Michigan State,3,0.5148533963431552,-0.4083314743467441,1.0167300377958366,Michigan State,UConn,0.4851466036568448,East,Sweet 16
Duke,1,UConn,2,0.7999179059471444,9.482660385499807,1.047357524069977,Duke,UConn,0.7999179059471444,East,Elite 8
Michigan,1,UMBC,16,0.9960097191604589,38.93030856215462,1.1738637359149402,Michigan,UMBC,0.9960097191604589,Midwest,Round Of 64
Georgia,8,Saint Louis,9,0.5753932720696846,2.090567316019757,1.0633179360772638,Georgia,Saint Louis,0.5753932720696846,Midwest,Round Of 64
Texas Tech,5,Akron,12,0.8811516877325157,13.658659537893229,1.0273925267219646,Texas Tech,Akron,0.8811516877325157,Midwest,Round Of 64
Alabama,4,Hofstra,13,0.9357960603826748,18.25731914688713,1.0350155598220503,Alabama,Hofstra,0.9357960603826748,Midwest,Round Of 64
Tennessee,6,SMU,11,0.7319867272210213,6.893194333754439,1.0424556563682643,Tennessee,SMU,0.7319867272210213,Midwest,Round Of 64
Virginia,3,Wright State,14,0.9677808393539261,23.223182437277266,1.0454124586350375,Virginia,Wright State,0.9677808393539261,Midwest,Round Of 64
Kentucky,7,Santa Clara,10,0.5880128900259126,2.442708278022802,1.059105272780069,Kentucky,Santa Clara,0.5880128900259126,Midwest,Round Of 64
Iowa State,2,Tennessee State,15,0.9914422365183443,32.963704349971145,1.2296556684115088,Iowa State,Tennessee State,0.9914422365183443,Midwest,Round Of 64
Michigan,1,Georgia,8,0.9066675378917999,15.505425076195754,1.038398733737497,Michigan,Georgia,0.9066675378917999,Midwest,Round Of 32
Alabama,4,Texas Tech,5,0.5223952845468123,-0.6153486670578386,1.0225236207419017,Texas Tech,Alabama,0.4776047154531877,Midwest,Round Of 32
Tennessee,6,Virginia,3,0.5053957826281626,0.14777502874459555,1.0302443429691202,Tennessee,Virginia,0.5053957826281626,Midwest,Round Of 32
Iowa State,2,Kentucky,7,0.8056892733584365,-9.732612520453971,1.0581362079998216,Kentucky,Iowa State,0.19431072664156346,Midwest,Round Of 32
Michigan,1,Alabama,4,0.8237077950659517,10.537069228446763,1.0092735758212816,Michigan,Alabama,0.8237077950659517,Midwest,Sweet 16
Iowa State,2,Tennessee,6,0.6921845721390835,-5.55799725803589,1.0135176028928936,Tennessee,Iowa State,0.30781542786091654,Midwest,Sweet 16
Michigan,1,Iowa State,2,0.6843694624898189,5.314249755867268,1.0071004238143464,Michigan,Iowa State,0.6843694624898189,Midwest,Elite 8
Florida,1,Lehigh,16,0.9974446650373036,42.49839171645485,1.036676142877333,Florida,Lehigh,0.9974446650373036,South,Round Of 64
Iowa,9,Clemson,8,0.5710160728637074,-1.9672870399081548,1.0307375728398775,Clemson,Iowa,0.42898392713629263,South,Round Of 64
Vanderbilt,5,McNeese,12,0.9064117663803963,15.459046967486676,1.0047328911047215,Vanderbilt,McNeese,0.9064117663803963,South,Round Of 64
Nebraska,4,Troy,13,0.966803714563136,22.977629894305306,1.01111868353015,Nebraska,Troy,0.966803714563136,South,Round Of 64
North Carolina,6,VCU,11,0.6798952381740498,5.164005818883892,1.0324368302837574,North Carolina,VCU,0.6798952381740498,South,Round Of 64
Illinois,3,Penn,14,0.9874212580055823,30.062613195478452,1.1480659778926152,Illinois,Penn,0.9874212580055823,South,Round Of 64
Saint Mary's,7,Texas A&M,10,0.586277237286399,2.3943350956607556,1.0026530839280794,Saint Mary's,Texas A&M,0.586277237286399,South,Round Of 64
Houston,2,Idaho,15,0.9884448990292645,30.66862479863565,1.0177701763394649,Houston,Idaho,0.9884448990292645,South,Round Of 64
Florida,1,Iowa,9,0.83661263123717,11.153590879202984,1.0403146757861519,Florida,Iowa,0.83661263123717,South,Round Of 32
Vanderbilt,5,Nebraska,4,0.5720719787086617,1.9929534719554212,1.0031760438092288,Vanderbilt,Nebraska,0.5720719787086617,South,Round Of 32
Illinois,3,North Carolina,6,0.8027316020254827,-9.606346442400943,1.0302226471124039,North Carolina,Illinois,0.19726839797451734,South,Round Of 32
