team,seed,region,R64,R32,S16,E8,F4,Champ,champ_pct
Duke,1,East,0.9965,0.909,0.7852,0.6416,0.3952,0.2578,0.2578
Michigan,1,Midwest,0.9958,0.9128,0.753,0.5727,0.3527,0.2278,0.2278
Arizona,1,West,0.9958,0.897,0.7377,0.5263,0.336,0.173,0.173
Florida,1,South,0.9979,0.8549,0.6281,0.3592,0.19,0.0814,0.0814
Houston,2,South,0.9869,0.8251,0.4734,0.2596,0.1248,0.0494,0.0494
Iowa State,2,Midwest,0.9926,0.8131,0.5719,0.2298,0.0992,0.0472,0.0472
Illinois,3,South,0.988,0.8276,0.4485,0.2388,0.1145,0.0462,0.0462
Purdue,2,West,0.9904,0.8366,0.5456,0.2407,0.1163,0.0432,0.0432
UConn,2,East,0.9855,0.7191,0.3868,0.1144,0.0376,0.0115,0.0115
Gonzaga,3,West,0.9808,0.7077,0.331,0.117,0.0448,0.0109,0.0109
Michigan State,3,East,0.967,0.5653,0.3123,0.088,0.0262,0.0091,0.0091
Vanderbilt,5,South,0.9075,0.5257,0.1844,0.0704,0.0249,0.0079,0.0079
Arkansas,4,West,0.9477,0.5815,0.1463,0.0594,0.0209,0.0046,0.0046
Alabama,4,Midwest,0.9365,0.5339,0.1212,0.0493,0.0149,0.0043,0.0043
Virginia,3,Midwest,0.9669,0.5327,0.2008,0.0519,0.014,0.0041,0.0041
Louisville,6,East,0.8103,0.3976,0.2058,0.049,0.0131,0.0039,0.0039
Texas Tech,5,Midwest,0.8824,0.4411,0.0978,0.0389,0.01,0.0035,0.0035
Tennessee,6,Midwest,0.7718,0.3996,0.1511,0.04,0.0111,0.0028,0.0028
St. John's,5,East,0.8835,0.4899,0.093,0.0444,0.0104,0.0027,0.0027
Nebraska,4,South,0.9655,0.4595,0.1379,0.0436,0.0116,0.0025,0.0025
Kansas,4,East,0.9418,0.4851,0.0825,0.0344,0.0078,0.0018,0.0018
Wisconsin,5,West,0.8871,0.3991,0.0803,0.0257,0.0067,0.001,0.001
BYU,6,West,0.6589,0.2216,0.0679,0.0151,0.0027,0.0008,0.0008
UCLA,7,East,0.734,0.2396,0.0801,0.0133,0.0027,0.0007,0.0007
Ohio State,8,East,0.7091,0.0758,0.0345,0.012,0.002,0.0004,0.0004
North Carolina,6,South,0.6829,0.1365,0.0335,0.0077,0.0012,0.0003,0.0003
Georgia,8,Midwest,0.5782,0.0542,0.0178,0.0048,0.001,0.0003,0.0003
Iowa,9,South,0.5726,0.0896,0.0324,0.0069,0.001,0.0002,0.0002
Kentucky,7,Midwest,0.5921,0.1222,0.0453,0.0072,0.0012,0.0002,0.0002
Villanova,8,West,0.4679,0.0451,0.016,0.0038,0.0006,0.0001,0.0001
Missouri,10,West,0.1585,0.0181,0.0029,0.0003,0.0001,0.0001,0.0001
Santa Clara,10,Midwest,0.4079,0.0642,0.0196,0.0029,0.0006,0.0001,0.0001
Saint Mary's,7,South,0.5872,0.111,0.0284,0.0079,0.0014,0.0001,0.0001
Saint Louis,9,Midwest,0.4218,0.0328,0.0096,0.0016,0.0002,0.0001,0.0001
Troy,13,South,0.0345,0.0014,0.0,0.0,0.0,0.0,0.0
Kennesaw,14,West,0.0192,0.001,0.0,0.0,0.0,0.0,0.0
Texas A&M,10,South,0.4128,0.063,0.0111,0.0026,0.0007,0.0,0.0
LIU,16,West,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee State,15,Midwest,0.0074,0.0005,0.0,0.0,0.0,0.0,0.0
UCF,10,East,0.266,0.041,0.0071,0.0005,0.0001,0.0,0.0
UMBC,16,Midwest,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0
