season,team,bpi,bpi_off,bpi_def
2008,AAMU,-7.5,-10.8,3.2
2008,AKR,7.0,4.5,2.5
2008,ALA,6.7,2.0,4.8
2008,ALCN,-9.4,-1.0,-8.4
2008,ALST,-3.2,1.9,-5.2
2008,AMCC,-4.6,-1.3,-3.3
2008,AMER,1.5,-5.9,7.4
2008,APP,2.0,2.7,-0.7
2008,APSU,1.7,-2.2,3.9
2008,ARIZ,11.8,3.6,8.2
2008,ARK,10.3,5.4,4.9
2008,ARMY,-4.0,-4.0,0.0
2008,ARST,-3.8,2.1,-5.8
2008,ASU,7.8,11.0,-3.1
2008,AUB,2.5,1.3,1.3
2008,BALL,-3.8,-4.1,0.4
2008,BAY,8.4,10.0,-1.6
2008,BCU,-8.0,0.2,-8.2
2008,BEL,3.3,1.4,1.9
2008,BGSU,-2.4,-5.6,3.2
2008,BING,-1.9,-1.3,-0.5
2008,BOIS,2.6,-1.3,3.9
2008,BRAD,4.4,2.5,1.9
2008,BRWN,3.4,5.8,-2.4
2008,BUCK,-3.1,-5.1,2.1
2008,BUF,-2.1,-4.3,2.2
2008,BUT,13.3,7.2,6.0
2008,BYU,9.0,5.6,3.4
2008,CAL,7.5,-0.5,8.0
2008,CAM,-5.0,-4.3,-0.6
2008,CAN,-8.1,-4.7,-3.4
2008,CARK,-4.5,0.0,-4.6
2008,CCSU,-1.2,-0.1,-1.1
2008,CCU,-4.1,0.7,-4.8
2008,CHSO,-5.7,7.9,-13.7
2008,CHST,-5.6,-8.3,2.7
2008,CIN,3.6,6.2,-2.5
2008,CIT,-8.9,3.4,-12.3
2008,CLE,3.0,1.6,1.5
2008,CLEM,14.8,9.5,5.3
2008,CLT,6.9,5.0,1.9
2008,CMU,-0.0,-9.7,9.7
2008,COFC,0.7,2.3,-1.6
2008,COLG,-1.3,5.4,-6.7
2008,COLO,0.8,-3.0,3.8
2008,COLU,-1.9,-1.8,-0.2
2008,CONN,12.6,8.5,4.1
2008,COPP,-7.7,-0.9,-6.8
2008,COR,4.3,-0.1,4.4
2008,CREI,6.9,6.6,0.3
2008,CSU,-6.1,-5.7,-0.4
2008,CSUB,-8.0,-12.8,4.8
2008,CSUF,5.6,-0.9,6.5
2008,CSUN,3.9,7.3,-3.3
2008,DART,-6.8,-0.7,-6.1
2008,DAV,16.1,7.1,9.1
2008,DAY,7.8,12.6,-4.8
2008,DEL,-1.4,2.9,-4.3
2008,DEN,-6.6,-2.0,-4.6
2008,DEP,4.3,0.3,3.9
2008,DETM,-4.2,-4.5,0.3
2008,DREX,-2.5,-2.2,-0.3
2008,DRKE,10.7,6.6,4.1
2008,DSU,-4.5,-4.7,0.1
2008,DUKE,18.9,7.9,10.9
2008,DUQ,8.1,-0.7,8.8
2008,ECU,-4.2,0.6,-4.8
2008,EIU,-7.2,-2.7,-4.5
2008,EKU,-3.3,2.3,-5.5
2008,ELON,-2.7,5.2,-7.9
2008,EMU,-1.3,0.0,-1.3
2008,ETSU,0.2,4.2,-4.0
2008,EVAN,-3.9,3.2,-7.1
2008,EWU,-4.2,2.3,-6.4
2008,FAIR,-2.0,4.6,-6.6
2008,FAMU,-7.4,-8.0,0.6
2008,FAU,-2.3,1.6,-3.9
2008,FDU,-7.1,0.3,-7.5
2008,FGCU,-7.0,-6.0,-1.0
2008,FIU,-5.5,-7.8,2.3
2008,FLA,11.0,8.1,2.9
2008,FOR,2.2,0.6,1.6
2008,FRES,-0.9,3.4,-4.3
2008,FSU,9.1,10.1,-1.0
2008,FUR,-6.8,-1.0,-5.8
2008,GASO,1.6,-1.0,2.6
2008,GAST,-4.2,-5.2,1.0
2008,GMU,7.1,2.2,4.9
2008,GONZ,12.2,10.6,1.6
2008,GRAM,-9.6,-2.1,-7.5
2008,GTWN,18.2,13.8,4.3
