season,team,seed,kenpom_adj_oe,kenpom_adj_de,kenpom_adj_em
2001,Duke,1,124.098,86.5298,37.5678
2001,Illinois,1,115.464,88.0356,27.4282
2001,Michigan St.,1,120.101,89.173,30.9283
2001,Stanford,1,125.409,92.1783,33.231
2001,Arizona,2,116.469,86.5783,29.8902
2001,Iowa St.,2,114.3,94.0101,20.2903
2001,Kentucky,2,116.905,91.769,25.1357
2001,North Carolina,2,114.169,90.2976,23.871
2001,Boston College,3,117.542,94.1297,23.4121
2001,Florida,3,115.141,90.8637,24.2775
2001,Maryland,3,117.431,91.0978,26.3333
2001,Mississippi,3,107.852,88.9492,18.9024
2001,Indiana,4,106.223,85.1362,21.0867
2001,Kansas,4,114.403,91.8136,22.5899
2001,Oklahoma,4,112.972,93.8535,19.1183
2001,UCLA,4,113.27,94.7634,18.5071
2001,Cincinnati,5,113.23,96.0976,17.1324
2001,Ohio St.,5,110.968,93.4065,17.5611
2001,Syracuse,5,108.368,95.497,12.8705
2001,Virginia,5,117.511,94.7561,22.7553
2001,Notre Dame,6,110.982,96.296,14.6856
2001,Texas,6,106.571,88.6629,17.9078
2001,USC,6,111.746,93.7797,17.9665
2001,Wisconsin,6,107.565,89.3163,18.2483
2001,Arkansas,7,109.839,92.602,17.2374
2001,Iowa,7,112.761,96.5592,16.2015
2001,Penn St.,7,114.163,99.4609,14.7022
2001,Wake Forest,7,112.417,88.5362,23.8805
2001,California,8,112.692,94.8721,17.8195
2001,Georgia,8,110.996,96.4504,14.5452
2001,Georgia Tech,8,106.589,89.8913,16.6979
2001,Tennessee,8,113.387,95.3984,17.9883
2001,Charlotte,9,113.864,98.3191,15.5448
2001,Fresno St.,9,106.935,91.6262,15.3086
2001,Missouri,9,109.241,97.0248,12.2158
2001,Saint Joseph's,9,113.295,97.2211,16.0738
2001,Butler,10,111.709,94.0611,17.6478
2001,Creighton,10,108.619,91.7553,16.8632
2001,Georgetown,10,106.771,92.917,13.8542
2001,Providence,10,107.553,91.1996,16.3536
2001,Georgia St.,11,110.314,101.132,9.18199
2001,Oklahoma St.,11,104.36,90.8206,13.5392
2001,Temple,11,117.975,99.1888,18.7866
2001,Xavier,11,107.865,91.6881,16.1769
2001,BYU,12,109.436,93.9034,15.5326
2001,Gonzaga,12,117.007,102.832,14.1747
2001,Hawaii,12,106.449,99.4574,6.99157
2001,Utah St.,12,108.002,92.6518,15.3504
2001,Cal St. Northridge,13,110.923,101.986,8.93691
