season,team,seed,source_1,source_2,source_3,source_4
2001,Alabama State,16,-4.46782,,,
2001,Arizona,2,29.8902,,,
2001,Arkansas,7,17.2374,,,
2001,BYU,12,15.5326,,,
2001,Boston College,3,23.4121,,,
2001,Butler,10,17.6478,,,
2001,Cal State Northridge,13,8.93691,,,
2001,California,8,17.8195,,,
2001,Charlotte,9,15.5448,,,
2001,Cincinnati,5,17.1324,,,
2001,Creighton,10,16.8632,,,
2001,Duke,1,37.5678,,,
2001,Eastern Illinois,15,4.35337,,,
2001,Florida,3,24.2775,,,
2001,Fresno State,9,15.3086,,,
2001,George Mason,14,8.04444,,,
2001,Georgetown,10,13.8542,,,
2001,Georgia,8,14.5452,,,
2001,Georgia State,11,9.18199,,,
2001,Georgia Tech,8,16.6979,,,
2001,Gonzaga,12,14.1747,,,
2001,Hampton,15,0.0437103,,,
2001,Hawaii,12,6.99157,,,
2001,Hofstra,13,10.6791,,,
2001,Holy Cross,15,2.21637,,,
2001,Illinois,1,27.4282,,,
2001,Indiana,4,21.0867,,,
2001,Indiana State,13,9.75204,,,
2001,Iona,14,0.954416,,,
2001,Iowa,7,16.2015,,,
2001,Iowa State,2,20.2903,,,
2001,Kansas,4,22.5899,,,
2001,Kent St.,13,12.6284,,,
2001,Kentucky,2,25.1357,,,
2001,Maryland,3,26.3333,,,
2001,Michigan State,1,30.9283,,,
2001,Mississippi,3,18.9024,,,
2001,Missouri,9,12.2158,,,
2001,Monmouth,16,-1.21212,,,
2001,North Carolina,2,23.871,,,
2001,Northwestern St.,16,-6.57108,,,
2001,Notre Dame,6,14.6856,,,
2001,Ohio State,5,17.5611,,,
2001,Oklahoma,4,19.1183,,,
2001,Oklahoma State,11,13.5392,,,
2001,Penn State,7,14.7022,,,
2001,Princeton,15,-0.414098,,,
2001,Providence,10,16.3536,,,
2001,Saint Joseph's,9,16.0738,,,
2001,Southern Utah,14,6.88624,,,
2001,Stanford,1,33.231,,,
2001,Syracuse,5,12.8705,,,
2001,Temple,11,18.7866,,,
2001,Tennessee,8,17.9883,,,
2001,Texas,6,17.9078,,,
2001,UCLA,4,18.5071,,,
2001,UNC Greensboro,16,-2.97309,,,
2001,Southern California,6,17.9665,,,
2001,Utah State,12,15.3504,,,
2001,Virginia,5,22.7553,,,
2001,Wake Forest,7,23.8805,,,
2001,Western Kentucky,14,12.7455,,,
2001,Winthrop,16,-0.620731,,,
2001,Wisconsin,6,18.2483,,,
2001,Xavier,11,16.1769,,,
2002,Alabama,2,20.0181,,,
2002,Alcorn State,16,-8.40177,,,
2002,Arizona,3,21.8199,,,
2002,Boston College,11,10.2439,,,
2002,Boston University,16,-2.19695,,,
2002,California,6,16.8143,,,
2002,Central Connecticut State,14,0.972884,,,
2002,Charlotte,9,16.9942,,,
2002,Cincinnati,1,30.8442,,,
2002,UConn,2,18.5499,,,
2002,Creighton,12,11.3452,,,
2002,Davidson,13,3.34606,,,
2002,Duke,1,34.022,,,
2002,Florida,5,25.7176,,,
2002,Florida Atlantic,15,-3.08732,,,
2002,Georgia,3,18.8371,,,
2002,Gonzaga,6,19.7952,,,
2002,Hampton,15,3.92456,,,
2002,Hawaii,10,13.5696,,,
2002,Holy Cross,16,-0.667653,,,
2002,Illinois,4,21.9149,,,
2002,Illinois Chicago,15,3.27351,,,
2002,Indiana,5,22.9213,,,
2002,Kansas,1,27.7883,,,
2002,Kent St.,10,19.3362,,,
2002,Kentucky,4,22.1792,,,
2002,Marquette,5,22.2615,,,
2002,Maryland,1,26.8534,,,
2002,McNeese,14,5.73024,,,
2002,Miami,5,16.1625,,,
2002,Michigan State,10,17.2017,,,
2002,Mississippi,9,18.3854,,,
2002,Mississippi State,3,18.9632,,,
2002,Missouri,12,15.1086,,,
2002,Montana,15,-4.18602,,,
2002,Murray State,14,1.07887,,,
2002,N.C. State,7,18.2573,,,
2002,Notre Dame,8,17.7678,,,
2002,Ohio State,4,20.8285,,,
2002,Oklahoma,2,24.8637,,,
2002,Oklahoma State,7,15.6932,,,
2002,Oregon,2,24.1236,,,
2002,Penn,11,12.3806,,,
2002,Pepperdine,10,12.7171,,,
2002,Pittsburgh,3,19.2728,,,
2002,San Diego State,13,10.3606,,,
2002,Siena,16,-1.73585,,,
2002,Southern Illinois,11,12.7039,,,
2002,St. John's,9,9.28117,,,
2002,Stanford,8,21.0509,,,
2002,Texas,6,16.5086,,,
2002,Texas Tech,6,17.3249,,,
2002,Tulsa,12,15.2246,,,
2002,UC Santa Barbara,14,9.59321,,,
2002,UCLA,8,15.3217,,,
