season,team,srs
2008,Air Force,0.44
2008,Akron,6.24
2008,Alabama,8.12
2008,Alabama A&M,-16.14
2008,Alabama State,-7.73
2008,Alcorn State,-23.12
2008,American,-1.87
2008,Appalachian State,-0.71
2008,Arizona,14.55
2008,Arizona State,10.31
2008,Arkansas,12.48
2008,Arkansas State,-7.75
2008,Arkansas-Pine Bluff,-17.8
2008,Army,-8.62
2008,Auburn,2.31
2008,Austin Peay,-2.21
2008,BYU,11.82
2008,Ball State,-5.61
2008,Baylor,11.46
2008,Belmont,-0.12
2008,Bethune-Cookman,-15.97
2008,Binghamton,-6.84
2008,Boise State,1.6
2008,Boston College,6.46
2008,Boston University,-6.69
2008,Bowling Green,-5.09
2008,Bradley,6.23
2008,Brown,-0.65
2008,Bucknell,-6.88
2008,Buffalo,-3.9
2008,Butler,13.0
2008,Cal Poly,-9.48
2008,Cal State Fullerton,5.64
2008,Cal State Northridge,1.23
2008,California,9.36
2008,Campbell,-11.91
2008,Canisius,-14.3
2008,Centenary (LA),-10.86
2008,Central Connecticut State,-5.31
2008,Central Michigan,-3.22
2008,Charleston Southern,-15.23
2008,Charlotte,6.54
2008,Chattanooga,-1.22
2008,Chicago State,-10.63
2008,Cincinnati,4.86
2008,Clemson,18.05
2008,Cleveland State,3.38
2008,Coastal Carolina,-11.52
2008,Colgate,-5.63
2008,College of Charleston,-2.22
2008,Colorado,4.05
2008,Colorado State,-7.09
2008,Columbia,-8.45
2008,Coppin State,-14.51
2008,Cornell,0.76
2008,Creighton,8.06
2008,Dartmouth,-14.56
2008,Davidson,13.93
2008,Dayton,7.98
2008,DePaul,4.31
2008,Delaware,-5.82
2008,Delaware State,-11.51
2008,Denver,-6.14
2008,Detroit Mercy,-6.38
2008,Drake,14.08
2008,Drexel,-7.63
2008,Duke,21.52
2008,Duquesne,8.96
2008,East Carolina,-4.28
2008,East Tennessee State,-4.24
2008,Eastern Illinois,-14.72
2008,Eastern Kentucky,-9.7
2008,Eastern Michigan,-3.18
2008,Eastern Washington,-7.38
2008,Elon,-4.71
2008,Evansville,-4.62
2008,FDU,-13.27
2008,Fairfield,-5.67
2008,Florida,12.34
2008,Florida A&M,-15.45
2008,Florida Atlantic,-5.64
2008,Florida International,-7.09
2008,Florida State,10.4
2008,Fordham,-0.16
2008,Fresno State,-2.99
2008,Furman,-12.73
2008,Gardner-Webb,-4.01
2008,George Mason,6.07
2008,George Washington,-1.7
2008,Georgetown,18.73
2008,Georgia,7.24
2008,Georgia Southern,-0.07
2008,Georgia State,-7.6
2008,Georgia Tech,10.77
2008,Gonzaga,14.81
2008,Grambling,-23.49
2008,Green Bay,-0.04
2008,Hampton,-5.57
2008,Hartford,-8.75
2008,Harvard,-10.76
2008,Hawaii,-5.32
2008,High Point,-5.1
2008,Hofstra,-5.93
2008,Holy Cross,-2.67
2008,Houston,8.4
2008,Howard,-22.46
2008,IU Indy,5.13
2008,Idaho,-10.75
2008,Idaho State,-12.0
2008,Illinois,10.98
2008,Illinois State,8.64
2008,Illinois-Chicago,3.04
2008,Indiana,15.78
2008,Indiana State,1.48
2008,Iona,-6.71
2008,Iowa,2.77
2008,Iowa State,3.97
2008,Jackson State,-16.14
2008,Jacksonville,-8.09
2008,Jacksonville State,-15.34
2008,James Madison,-5.13
2008,Kansas,26.9
2008,Kansas City,-6.97
2008,Kansas State,15.79
2008,Kent State,7.47
2008,Kentucky,9.19
2008,LIU,-6.02
2008,LSU,4.99
2008,La Salle,-0.19
2008,Lafayette,-4.57
2008,Lamar,-2.41
2008,Lehigh,-7.74
2008,Liberty,-6.1
2008,Lipscomb,-4.97
2008,Little Rock,-3.26
2008,Long Beach State,-12.89
2008,Longwood,-18.73
2008,Louisiana,-3.67
2008,Louisiana Tech,-15.42
2008,Louisiana-Monroe,-8.28
2008,Louisville,19.0
2008,Loyola Chicago,-4.14
2008,Loyola Maryland,-2.85
2008,Loyola Marymount,-16.94
2008,Maine,-16.25
2008,Manhattan,-7.98
2008,Marist,-0.68
2008,Marquette,18.62
