season,team,tr_predictive
2008,AR-Pine Bluff (13-18),-6.7
2008,Air Force (16-14),8.4
2008,Akron (23-10),14.1
2008,Alabama (17-16),14.4
2008,Alabama A&M (14-15),-4.9
2008,Alabama St (20-10),2.5
2008,Albany (15-15),4.9
2008,Alcorn St (7-24),-11.6
2008,American (21-11),6.6
2008,App State (18-13),8.2
2008,Arizona (19-14),21.3
2008,Arizona St (19-12),17.0
2008,Arkansas (22-10),19.1
2008,Arkansas St (10-20),1.8
2008,Army (14-16),-0.5
2008,Auburn (14-16),9.3
2008,Austin Peay (24-10),7.6
2008,BYU (27-7),19.5
2008,Ball St (6-24),2.5
2008,Baylor (21-10),18.3
2008,Belmont (25-8),9.2
2008,Bethune (11-21),-6.0
2008,Binghamton (14-16),2.0
2008,Boise St (25-8),10.8
2008,Boston College (14-17),11.6
2008,Boston U (14-17),2.3
2008,Bowling Green (13-17),3.4
2008,Bradley (17-15),12.4
2008,Brown (19-9),8.0
2008,Bucknell (12-19),1.8
2008,Buffalo (10-20),4.5
2008,Butler (29-3),19.5
2008,C Arkansas (14-16),0.9
2008,C Connecticut (14-16),3.1
2008,C Michigan (14-17),6.3
2008,CS Bakersfield (8-21),-4.4
2008,CS Fullerton (24-8),14.3
2008,CS Northridge (20-10),11.4
2008,Cal Poly (12-18),0.7
2008,California (16-15),16.2
2008,Campbell (10-20),-1.7
2008,Canisius (6-25),-6.0
2008,Centenary (10-21),0.0
2008,Charleston (16-17),6.7
2008,Charleston So (10-20),-2.0
2008,Charlotte (20-13),13.3
2008,Chattanooga (18-13),8.1
2008,Chicago St (11-17),1.1
2008,Cincinnati (13-18),10.8
2008,Clemson (24-8),23.3
2008,Cleveland St (21-12),12.0
2008,Coastal Car (13-15),0.7
2008,Colgate (18-14),3.1
2008,Colorado (12-20),11.0
2008,Colorado St (7-25),2.0
2008,Columbia (14-15),0.9
2008,Coppin St (16-20),-4.7
2008,Cornell (22-5),10.1
2008,Creighton (21-10),16.2
2008,Dartmouth (10-18),-5.0
2008,Davidson (26-6),22.2
2008,Dayton (21-10),14.3
2008,DePaul (11-19),11.0
2008,Delaware (14-17),2.6
