season,round_num,region_num,region,seed_i,score_i,team_i,team_j,score_j,seed_j,margin,round
2008,1,1,East,1,113,North Carolina,Mount St Marys,74,16,39,R64
2008,1,1,East,2,72,Tennessee,American,57,15,15,R64
2008,1,1,East,3,79,Louisville,Boise St,61,14,18,R64
2008,1,1,East,4,71,Washington St,Winthrop,40,13,31,R64
2008,1,1,East,5,68,Notre Dame,George Mason,50,12,18,R64
2008,1,1,East,6,72,Oklahoma,St Josephs,64,11,8,R64
2008,1,1,East,7,81,Butler,South Alabama,61,10,20,R64
2008,1,1,East,8,72,Indiana,Arkansas,86,9,-14,R64
2008,1,2,Midwest,1,85,Kansas,Portland St,61,16,24,R64
2008,1,2,Midwest,2,66,Georgetown,UMBC,47,15,19,R64
2008,1,2,Midwest,3,71,Wisconsin,Cal St Fullerton,56,14,15,R64
2008,1,2,Midwest,4,62,Vanderbilt,Siena,83,13,-21,R64
2008,1,2,Midwest,5,69,Clemson,Villanova,75,12,-6,R64
2008,1,2,Midwest,6,67,USC,Kansas St,80,11,-13,R64
2008,1,2,Midwest,7,76,Gonzaga,Davidson,82,10,-6,R64
2008,1,2,Midwest,8,71,UNLV,Kent St,58,9,13,R64
2008,1,3,South,1,87,Memphis,Texas Arlington,63,16,24,R64
2008,1,3,South,2,74,Texas,Austin Peay,54,15,20,R64
2008,1,3,South,3,77,Stanford,Cornell,53,14,24,R64
2008,1,3,South,4,82,Pittsburgh,Oral Roberts,63,13,19,R64
2008,1,3,South,5,72,Michigan St,Temple,61,12,11,R64
2008,1,3,South,6,74,Marquette,Kentucky,66,11,8,R64
2008,1,3,South,7,78,Miami,St Marys,64,10,14,R64
2008,1,3,South,8,76,Mississippi St,Oregon,69,9,7,R64
2008,1,4,West,1,70,UCLA,Mississippi Valley St,29,16,41,R64
2008,1,4,West,2,71,Duke,Belmont,70,15,1,R64
2008,1,4,West,3,73,Xavier,Georgia,61,14,12,R64
2008,1,4,West,4,69,Connecticut,San Diego,70,13,-1,R64
