team,barttorvik_adj_em,season
Amer,8,2014
P12,18,2014
SEC,17,2014
ACC,21,2014
B10,-34,2014
ACC,-70,2014
SEC,-4,2014
B10,-26,2014
MVC,5,2014
B10,-86,2014
B12,-27,2014
BE,12,2014
ACC,-3,2014
Amer,40,2014
P12,-37,2014
ACC,19,2014
BE,-124,2014
B10,104,2014
B10,-72,2014
WCC,23,2014
B12,-7,2014
SEC,-25,2014
MWC,83,2014
A10,103,2014
B12,-61,2014
B12,-74,2014
ACC,17,2014
B12,-68,2014
Amer,94,2014
P12,-77,2014
MWC,11,2014
Amer,56,2014
Ivy,23,2014
A10,-20,2014
B10,-39,2014
B12,3,2014
Amer,-3,2014
A10,166,2014
B12,105,2014
CUSA,58,2014
P12,13,2014
SEC,28,2014
ACC,0,2014
P12,35,2014
B10,81,2014
P12,33,2014
BE,-77,2014
ACC,93,2014
BE,-62,2014
A10,-30,2014
B10,83,2014
A10,28,2014
ACC,118,2014
WCC,-61,2014
B10,144,2014
ACC,-89,2014
BE,90,2014
B12,-101,2014
SEC,-3,2014
BE,-29,2014
A10,47,2014
WCC,-28,2014
BE,26,2014
ACC,20,2014
P12,95,2014
P12,-19,2014
SEC,-109,2014
Sum,-109,2014
SEC,48,2014
Slnd,-64,2014
CUSA,120,2014
MWC,-125,2014
MAAC,99,2014
MWC,54,2014
A10,-59,2014
WAC,-67,2014
CUSA,143,2014
MAAC,-216,2014
B10,-19,2014
SB,-132,2014
CUSA,12,2014
BE,13,2014
SEC,44,2014
SEC,-62,2014
MVC,-118,2014
Horz,75,2014
B10,9,2014
OVC,-152,2014
ACC,-144,2014
WCC,-83,2014
B12,-36,2014
MEAC,21,2014
ACC,95,2014
ASun,-31,2014
BE,87,2014
P12,-147,2014
A10,140,2014
CUSA,79,2014
Ivy,104,2014
BW,182,2014
AE,28,2014
Horz,-37,2014
SEC,213,2014
P12,-103,2014
MWC,-93,2014
A10,72,2014
BW,-83,2014
MAC,-73,2014
Pat,22,2014
SEC,-89,2014
SB,-121,2014
SEC,138,2014
SC,-179,2014
WCC,-41,2014
ACC,28,2014
SEC,31,2014
A10,125,2014
MWC,84,2014
MVC,49,2014
CAA,-134,2014
Pat,165,2014
B10,252,2014
MWC,-65,2014
ACC,-245,2014
MAC,-221,2014
WCC,39,2014
OVC,-180,2014
OVC,-92,2014
A10,14,2014
MAC,266,2014
Ivy,-18,2014
MAC,50,2014
MAC,10,2014
MAAC,-188,2014
MAC,24,2014
Amer,-164,2014
CAA,78,2014
Horz,215,2014
MWC,-150,2014
BW,-144,2014
Sum,-140,2014
MWC,-126,2014
Pat,55,2014
Sum,12,2014
A10,-157,2014
MVC,148,2014
CAA,-126,2014
MVC,-39,2014
WCC,-112,2014
SB,-23,2014
Sum,-176,2014
P12,89,2014
Amer,-160,2014
MAAC,133,2014
ACC,183,2014
BW,51,2014
WCC,-67,2014
CUSA,60,2014
MVC,3,2014
Pat,102,2014
CAA,-261,2014
Amer,-65,2014
MAAC,-194,2014
Horz,23,2014
WCC,-89,2014
Pat,-143,2014
Ivy,116,2014
Ivy,157,2014
CUSA,152,2014
AE,57,2014
ASun,6,2014
CUSA,82,2014
AE,6,2014
BSky,-68,2014
SB,126,2014
CAA,198,2014
Sum,22,2014
Horz,62,2014
Slnd,-130,2014
NEC,-19,2014
MVC,-12,2014
Horz,-117,2014
WCC,-28,2014
BE,-53,2014
Amer,-30,2014
ASun,167,2014
P12,100,2014
MVC,-5,2014
Horz,-191,2014
SEC,112,2014
Slnd,-58,2014
SC,-22,2014
SWAC,217,2014
BW,48,2014
BSth,-171,2014
Slnd,-137,2014
SC,136,2014
OVC,47,2014
NEC,201,2014
Horz,91,2014
A10,-173,2014
MAC,-3,2014
NEC,171,2014
Amer,69,2014
MVC,105,2014
B12,130,2014
NEC,-69,2014
MAC,154,2014
MAC,273,2014
NEC,-163,2014
CUSA,-136,2014
BSth,-151,2014
BSth,159,2014
BSth,-101,2014
CAA,71,2014
BSky,-132,2014
BSky,-165,2014
SB,-15,2014
WAC,19,2014
SB,-98,2014
Pat,-89,2014
CUSA,88,2014
CUSA,79,2014
BSth,89,2014
BSth,-140,2014
OVC,-202,2014
SB,65,2014
MEAC,74,2014
BSth,-55,2014
MAC,290,2014
MAAC,-130,2014
MEAC,206,2014
MAAC,40,2014
MVC,-22,2014
CUSA,22,2014
CUSA,28,2014
WAC,56,2014
BSky,-219,2014
Pat,-235,2014
BSth,-199,2014
Slnd,-63,2014
BSky,-94,2014
SWAC,-174,2014
AE,0,2014
MWC,93,2014
BW,-137,2014
MEAC,-29,2014
WAC,61,2014
WAC,-136,2014
WAC,-120,2014
MAAC,139,2014
ASun,-61,2014
CAA,-141,2014
Horz,-5,2014
SB,-11,2014
MAAC,154,2014
SC,-64,2014
OVC,19,2014
Ivy,86,2014
Pat,135,2014
Ivy,-52,2014
SB,145,2014
BW,19,2014
SB,187,2014
BSky,-119,2014
ASun,-86,2014
CAA,71,2014
BSky,-106,2014
CAA,151,2014
ASun,-61,2014
Sum,-7,2014
MAAC,-42,2014
BSky,35,2014
MAAC,138,2014
OVC,-34,2014
BSky,-75,2014
Sum,182,2014
SC,-10,2014
Slnd,-72,2014
BSth,-79,2014
WAC,63,2014
MEAC,243,2014
MAC,-201,2014
CUSA,-2,2014
CUSA,122,2014
BW,56,2014
WAC,36,2014
NEC,-82,2014
MAC,57,2014
SC,15,2014
OVC,-18,2014
WAC,141,2014
Pat,63,2014
OVC,-58,2014
CUSA,-87,2014
Pat,131,2014
ASun,-138,2014
MEAC,-48,2014
BW,-117,2014
OVC,-63,2014
MWC,148,2014
ASun,-133,2014
Slnd,-6,2014
SWAC,127,2014
NEC,5,2014
SWAC,162,2014
BSky,68,2014
OVC,-142,2014
NEC,-28,2014
Slnd,-28,2014
OVC,-1,2014
MEAC,93,2014
NEC,-138,2014
NEC,26,2014
SC,67,2014
SWAC,121,2014
ind,38,2014
MEAC,-28,2014
Slnd,-5,2014
SC,-81,2014
SWAC,13,2014
Slnd,2,2014
BSth,-52,2014
Sum,-29,2014
SWAC,65,2014
SWAC,-3,2014
Ivy,-115,2014
AE,81,2014
Slnd,0,2014
AE,137,2014
Slnd,11,2014
AE,9,2014
ASun,56,2014
SC,82,2014
AE,86,2014
MEAC,154,2014
ASun,4,2014
MEAC,13,2014
SC,-4,2014
Slnd,57,2014
