team,barttorvik_adj_em,season
B12,0.0,2008
CUSA,3.0,2008
P10,3.0,2008
ACC,-25.0,2008
B10,35.0,2008
BE,35.0,2008
ACC,0.0,2008
B12,-38.0,2008
BE,26.0,2008
P10,19.0,2008
P10,24.0,2008
BE,5.0,2008
ACC,18.0,2008
SC,-9.0,2008
SEC,-6.0,2008
A10,-24.0,2008
B10,-10.0,2008
B12,18.0,2008
BE,-4.0,2008
B12,-17.0,2008
MVC,-92.0,2008
B10,38.0,2008
BE,-60.0,2008
BE,-43.0,2008
P10,-51.0,2008
WCC,1.0,2008
BE,-43.0,2008
Horz,-32.0,2008
P10,41.0,2008
B10,-32.0,2008
MWC,31.0,2008
B10,52.0,2008
ACC,108.0,2008
SEC,57.0,2008
MWC,95.0,2008
B12,67.0,2008
ACC,-20.0,2008
SEC,-4.0,2008
SEC,-99.0,2008
B12,-118.0,2008
P10,-163.0,2008
B10,83.0,2008
MWC,18.0,2008
BE,-34.0,2008
WCC,46.0,2008
BE,35.0,2008
B12,43.0,2008
SB,-11.0,2008
A10,-92.0,2008
B12,-39.0,2008
SEC,-79.0,2008
ACC,-85.0,2008
ACC,38.0,2008
SEC,-53.0,2008
P10,10.0,2008
ACC,39.0,2008
A10,-11.0,2008
MVC,97.0,2008
MVC,105.0,2008
MAC,66.0,2008
B12,6.0,2008
B10,18.0,2008
P10,-8.0,2008
CUSA,-16.0,2008
P10,-173.0,2008
A10,-69.0,2008
ACC,52.0,2008
SEC,37.0,2008
CAA,135.0,2008
CUSA,-120.0,2008
A10,-41.0,2008
CUSA,57.0,2008
MVC,33.0,2008
SB,-75.0,2008
MWC,-40.0,2008
SEC,-61.0,2008
A10,-156.0,2008
MVC,-105.0,2008
Sum,-183.0,2008
MAC,-37.0,2008
Sum,137.0,2008
A10,-4.0,2008
MVC,-11.0,2008
ACC,-99.0,2008
BE,-58.0,2008
CAA,-35.0,2008
MAC,19.0,2008
B12,47.0,2008
A10,117.0,2008
SEC,96.0,2008
WAC,-14.0,2008
MWC,93.0,2008
MAC,24.0,2008
MAAC,-28.0,2008
SEC,-69.0,2008
