team,bpi,bpi_off,bpi_def,season
VILL,19.9,8.9,11.0,2016
UNC,18.7,13.8,4.8,2016
MSU,18.6,10.5,8.1,2016
UVA,18.6,3.4,15.2,2016
LOU,18.5,11.8,6.6,2016
WVU,17.1,4.5,12.6,2016
PUR,16.5,8.9,7.7,2016
DUKE,16.2,9.8,6.4,2016
SMU,15.9,7.7,8.2,2016
ARIZ,15.8,11.5,4.3,2016
WICH,15.6,12.1,3.5,2016
XAV,15.0,6.8,8.2,2016
VAN,14.9,10.1,4.8,2016
CONN,14.8,9.6,5.2,2016
MIA,14.4,3.3,11.1,2016
TA&M,14.1,10.1,4.0,2016
ORE,13.6,6.0,7.6,2016
CIN,13.5,4.4,9.1,2016
IOWA,13.5,6.7,6.8,2016
ISU,13.3,6.3,7.0,2016
GONZ,13.0,5.5,7.5,2016
PITT,13.0,8.3,4.7,2016
BUT,13.0,3.3,9.6,2016
BAY,12.9,7.4,5.5,2016
CAL,12.8,12.3,0.5,2016
SYR,12.5,6.4,6.1,2016
HALL,12.3,5.2,7.1,2016
VAL,12.1,8.6,3.5,2016
VCU,11.8,7.5,4.3,2016
YALE,11.8,5.1,6.7,2016
MICH,11.0,6.6,4.4,2016
FLA,11.0,1.5,9.5,2016
SMC,11.0,4.7,6.2,2016
UTAH,10.7,1.0,9.7,2016
CREI,10.6,5.6,5.0,2016
WIS,10.5,2.4,8.1,2016
CLEM,10.4,4.1,6.3,2016
TEX,10.1,4.0,6.1,2016
SFA,10.1,1.0,9.1,2016
FSU,10.1,6.3,3.9,2016
BYU,9.8,8.4,1.4,2016
DAY,9.8,-0.6,10.3,2016
PRIN,9.7,5.2,4.4,2016
JOES,9.7,0.5,9.2,2016
COLO,9.6,2.7,7.0,2016
STBK,9.5,3.1,6.5,2016
TTU,9.4,7.9,1.5,2016
HOU,9.0,9.0,0.0,2016
MEM,9.0,1.6,7.4,2016
SDSU,8.7,5.6,3.1,2016
ARK,8.7,6.5,2.2,2016
PROV,8.7,3.9,4.7,2016
KSU,8.6,4.5,4.1,2016
USC,8.5,4.0,4.5,2016
BOIS,8.1,1.5,6.6,2016
GTWN,8.1,-1.6,9.7,2016
TLSA,7.9,2.8,5.1,2016
NCSU,7.6,6.5,1.2,2016
ORST,7.6,5.3,2.3,2016
UCSB,7.5,-3.1,10.6,2016
OAK,7.4,6.7,0.7,2016
OSU,7.4,3.8,3.6,2016
URI,7.4,0.7,6.6,2016
AKR,7.3,0.9,6.5,2016
SDST,7.3,7.7,-0.4,2016
UGA,7.2,5.0,2.3,2016
UNI,7.2,3.5,3.7,2016
TEM,7.1,4.1,3.0,2016
LSU,7.1,5.7,1.4,2016
MISS,6.9,4.8,2.1,2016
UTA,6.8,1.8,5.0,2016
MONM,6.7,1.8,5.0,2016
MSST,6.5,11.8,-5.3,2016
SBU,6.4,0.8,5.7,2016
UCI,6.3,-0.7,7.1,2016
UCLA,6.3,2.5,3.8,2016
NEB,6.3,3.7,2.6,2016
EVAN,6.2,0.9,5.3,2016
RICH,6.0,-1.5,7.5,2016
WASH,5.9,0.5,5.4,2016
JMU,5.8,7.1,-1.3,2016
UALB,5.8,4.1,1.6,2016
UNLV,5.7,4.6,1.1,2016
W&M,5.7,5.3,0.4,2016
TENN,5.5,4.3,1.2,2016
UAB,5.5,5.0,0.5,2016
ALA,5.4,0.1,5.3,2016
OKST,5.3,5.3,-0.0,2016
MARQ,5.1,1.8,3.3,2016
UNCW,5.0,2.5,2.5,2016
HOF,5.0,5.3,-0.3,2016
COLU,4.9,10.1,-5.2,2016
IONA,4.8,1.5,3.4,2016
UTC,4.8,0.9,4.0,2016
