team,srs,season
Indiana,24.92,2013
Louisville,24.82,2013
Florida,23.88,2013
Duke,21.46,2013
Michigan,21.29,2013
Kansas,20.79,2013
Gonzaga,20.44,2013
Syracuse,20.3,2013
Ohio State,20.19,2013
Pittsburgh,18.84,2013
Wisconsin,18.76,2013
Michigan State,18.63,2013
Arizona,17.31,2013
Miami (FL),16.98,2013
Virginia Commonwealth,16.97,2013
Minnesota,16.84,2013
Creighton,16.43,2013
Georgetown,15.86,2013
Oklahoma State,15.57,2013
Missouri,15.42,2013
Baylor,15.07,2013
Wichita State,14.68,2013
North Carolina,14.57,2013
Iowa State,14.5,2013
Cincinnati,14.47,2013
Saint Mary's (CA),14.46,2013
Mississippi,14.44,2013
Saint Louis,14.35,2013
NC State,14.34,2013
Iowa,14.22,2013
Marquette,14.05,2013
Kentucky,13.96,2013
Oregon,13.78,2013
Notre Dame,13.76,2013
Colorado State,13.6,2013
Kansas State,13.54,2013
New Mexico,13.24,2013
Illinois,13.18,2013
San Diego State,12.95,2013
Virginia,12.91,2013
UCLA,12.82,2013
Nevada-Las Vegas,12.81,2013
Memphis,12.28,2013
Colorado,11.91,2013
Connecticut,11.89,2013
Oklahoma,11.4,2013
Maryland,11.39,2013
Stanford,11.36,2013
Middle Tennessee,11.18,2013
Butler,11.01,2013
Villanova,10.75,2013
Brigham Young,10.63,2013
California,10.59,2013
Belmont,10.41,2013
La Salle,10.15,2013
Arkansas,9.83,2013
Alabama,9.82,2013
Illinois State,9.61,2013
Temple,9.54,2013
Boise State,9.38,2013
Dayton,9.37,2013
Providence,9.3,2013
Denver,9.18,2013
Purdue,9.04,2013
Tennessee,9.04,2013
Southern Mississippi,8.95,2013
Arizona State,8.82,2013
Northern Iowa,8.58,2013
Akron,8.12,2013
Washington,7.88,2013
Xavier,7.71,2013
Saint Joseph's,7.33,2013
Davidson,7.3,2013
Valparaiso,7.15,2013
Bucknell,6.96,2013
Ohio,6.95,2013
Richmond,6.92,2013
Texas,6.84,2013
Detroit Mercy,6.72,2013
Washington State,6.65,2013
Georgia Tech,6.62,2013
Santa Clara,6.54,2013
Texas A&M,6.51,2013
Southern California,6.26,2013
Vanderbilt,6.26,2013
Boston College,6.11,2013
Oregon State,6.01,2013
Rutgers,5.98,2013
Clemson,5.85,2013
Massachusetts,5.84,2013
