team,tr_predictive,season
Kansas (32-2),32.6,2010
Duke (28-5),32.3,2010
Syracuse (28-4),27.9,2010
BYU (29-5),27.2,2010
Kentucky (31-2),27.1,2010
Kansas St (26-7),26.0,2010
Texas (24-9),25.8,2010
Wisconsin (23-8),25.7,2010
Maryland (23-8),25.7,2010
Ohio St (26-7),25.5,2010
West Virginia (27-6),25.2,2010
Baylor (25-7),24.8,2010
Missouri (22-10),24.4,2010
Purdue (27-5),24.3,2010
Villanova (24-7),24.2,2010
Georgetown (23-10),24.2,2010
Clemson (21-10),23.9,2010
California (23-10),23.9,2010
Minnesota (21-12),23.5,2010
Michigan St (24-8),23.3,2010
Xavier (24-8),22.9,2010
Tennessee (25-8),22.7,2010
Washington (24-9),22.7,2010
Florida St (22-9),22.5,2010
Utah St (27-7),22.3,2010
Marquette (22-11),22.2,2010
Vanderbilt (24-8),22.0,2010
Texas A&M (23-9),21.9,2010
Georgia Tech (22-11),21.9,2010
Saint Mary's (26-5),21.4,2010
Louisville (20-12),21.2,2010
Butler (28-4),20.9,2010
New Mexico (29-4),20.7,2010
UNLV (25-8),20.6,2010
UTEP (26-6),20.6,2010
Pittsburgh (24-8),20.6,2010
Memphis (23-9),20.6,2010
Gonzaga (26-6),20.4,2010
Arizona St (22-10),20.4,2010
Temple (28-5),20.4,2010
Mississippi (21-10),20.3,2010
Virginia Tech (23-8),20.0,2010
Mississippi St (23-10),20.0,2010
Wake Forest (19-10),19.9,2010
San Diego St (25-8),19.9,2010
Murray St (30-4),19.8,2010
Oklahoma St (22-10),19.8,2010
Miami (20-13),19.6,2010
Old Dominion (26-8),19.6,2010
Notre Dame (23-11),19.5,2010
Florida (21-12),19.3,2010
UConn (17-15),19.1,2010
Illinois (19-14),18.9,2010
North Carolina (16-16),18.7,2010
N Iowa (28-4),18.5,2010
Marshall (23-9),18.3,2010
Dayton (20-12),18.2,2010
VCU (22-9),17.8,2010
Richmond (26-7),17.8,2010
Seton Hall (19-12),17.7,2010
Cincinnati (18-15),17.3,2010
Michigan (15-17),17.3,2010
NC State (19-15),17.0,2010
UAB (23-8),16.9,2010
Alabama (17-15),16.8,2010
Boston College (15-16),16.8,2010
